figure_panel,input_files,transformation,status,interpretation
Figure 1 A/B,"source_data/main/Figure_1a_target_cards_source.csv; source_data/main/Figure_1b_workflow_steps.csv","locked static publication asset; source summaries retained for provenance",locked,"Conceptual workflow and retrospective benchmark roles"
Figure 2 A,source_data/main/Figure_2a_recall_learning_curves.csv,"plot saved recall summaries by fitting budget",current,"Elite recovery from few labels"
Figure 2 B,source_data/main/Figure_2b_enrichment_learning_curves.csv,"plot saved enrichment summaries by fitting budget",current,"Screening enrichment"
Figure 2 C,source_data/main/Figure_2c_label_efficiency.csv,"plot saved endpoint-normalized recall",current,"Label-efficiency index"
Figure 2 D,source_data/main/Figure_2d_budget_needed_for_recall_fraction.csv,"plot saved tested-grid budget thresholds",current,"Budget needed for fractions of final recall"
Figure 2 E,source_data/main/Figure_2e_model_comparison_1000_labels.csv,"plot saved model comparison at B=1000",current,"Stable model-family comparison"
Figure 2 F,source_data/main/Figure_2f_final_enrichment_summary.csv,"plot saved target-level enrichment summary",current,"Final enrichment summary"
Figure 3 A,source_data/main/Figure_3a_rac_gain_heatmap.csv,"plot saved RAC-minus-geometry recall differences",current,"Descriptor gain across budgets"
Figure 3 B,source_data/main/Figure_3b_rac_gain_bars_1000_labels.csv,"plot saved RAC-minus-geometry recall differences at B=1000",current,"Chemistry-associated gain at B=1000"
Figure 3 C,source_data/main/Figure_3c_split_stress_recall_heatmap.csv,"plot saved grouped-split recall summaries",current,"Split-stress map"
Figure 3 D,source_data/main/Figure_3d_topology_penalty.csv,"plot saved random-minus-topology recall differences",current,"Topology extrapolation penalty"
Figure 3 E,source_data/main/Figure_3e_extrapolation_vulnerability.csv,"plot saved relative recall losses",current,"Extrapolation vulnerability"
Figure 3 F,source_data/main/Figure_3f_mechanistic_interpretation.csv,"render saved interpretation-card content",current,"Concise interpretation of benchmark evidence"
Figure 4 A,source_data/main/Figure_4a_coverage_error_heatmap.csv,"plot saved empirical coverage deviations from 0.90",current,"Coverage error"
Figure 4 B,source_data/main/Figure_4b_normalized_interval_width.csv,"plot saved normalized interval widths by budget",current,"Uncertainty width"
Figure 4 C,source_data/main/Figure_4c_precision_yield_frontier.csv,"plot saved precision-yield points",current,"Precision-yield frontier"
Figure 4 D,source_data/main/Figure_4d_precision_at_10pct_retained.csv,"plot saved precision near 10% retention",current,"Precision at fixed retention"
Figure 4 E,source_data/main/Figure_4e_prefinal_tier_composition.csv,"plot saved uncertainty-tier fractions",current,"Pre-final tier composition"
Figure 4 F,source_data/main/Figure_4f_coverage_method_comparison.csv,"plot saved empirical coverage by method",current,"Coverage method comparison"
Figure 5 A,source_data/main/Figure_5_candidate_funnel.csv,"plot saved stage counts",current,"Decision funnel"
Figure 5 B,source_data/main/Figure_5_true_enrichment.csv,"plot saved shortlist enrichment",current,"True enrichment"
Figure 5 C,source_data/main/Figure_5_true_enrichment.csv,"plot saved elite-membership fractions",current,"True elite membership"
Figure 5 D-F,source_data/main/Figure_5_top25_consensus_candidates_with_percentiles.csv,"plot saved candidate percentiles, support counts and geometry",current,"Candidate-tail position, consensus support and geometry"
Figure S1 A-D,source_data/SI/Figure_S1_histogram_bin_counts_recovered_from_v48_svg.csv,"redraw saved histogram-bin counts",current,"Target distributions and top-5% thresholds"
Figure S2 A,source_data/SI/Figure_S2a_model_pass_fraction.csv,"plot saved model-family pass fractions",current,"Model-level quality-gate pass fraction"
Figure S2 B,source_data/SI/Figure_S2b_gate_outcome_rejection_reason.csv,"plot saved gate outcomes and rejection reasons",current,"Gate outcome audit"
Figure S3 A/B,source_data/SI/Figure_S_external_domain_overlap_source.csv,"redraw saved external-domain summary values only",provenance-limited,"External overlap annotation; no neighbor recomputation"
